Iteration	Cost	Gradient norm
119	1.550542	463035084.781139	15.278007
120	4.626983	459692348.213607	15.705273
121	1.900984	517793746.509239	16.159148
122	0.179117	540368909.308852	16.644916
123	0.964876	587521384.233550	17.166634
124	2.223870	638206224.298129	17.746869
125	1.017337	687500953.362951	18.383378
126	0.605048	730265026.171211	19.066538
127	0.505803	746223743.137775	19.786030
128	0.707612	805554966.887205	20.544091
129	1.124682	817742815.990696	21.338124
130	49.758693	741045236.401682	22.138255
131	20.254467	742316547.778645	22.944290
132	0.323409	767028534.194368	23.775826
133	4.287727	785418990.568988	24.662115
134	3.933758	887023236.994699	25.640434
135	29.261688	907031756.817493	26.687736
136	0.544464	929474050.367334	27.779822
137	14.969390	994060227.282300	28.931517
138	1.357034	1054524304.688846	30.152704
139	0.447150	1101396535.213650	31.437640
140	13.574999	1038627910.137173	32.743644
141	23.435737	995658189.802923	34.047975
142	0.027756	1005007550.587183	35.374068
143	2.931623	1027655527.460021	36.748499
144	3.951285	1036764651.215949	38.166841
145	0.673943	1138644353.986144	39.666321
146	2.251956	1257614619.973339	41.279771
147	2.669985	1351506302.663522	42.994479
148	128.546468	1204455415.764196	44.711287
149	3.183906	1192067291.185470	46.430414
150	5.242554	1213634573.234946	48.192801
151	3.512199	1355193390.428529	50.067357
152	0.211618	1388253595.188079	52.039020
153	8.843074	1431134409.474925	54.081773
154	0.880016	1496038618.727326	56.208624
155	4.472502	1530495852.086546	58.409967
156	1.783100	1639917236.475760	60.720565
157	0.857008	1675234525.840822	63.134545
158	93.969391	1650359528.781038	65.593984
159	0.240809	1774645065.124147	68.138626
160	59.572343	1770837772.973421	70.734596
161	0.172781	1743105318.120667	73.373391
162	5.680701	1841572836.190700	76.098421
163	0.141633	1959687461.342806	78.941702
164	5.296800	2310852231.577974	82.006319
165	22.947947	2274424208.328981	85.198041
166	61.661526	2139966601.158409	88.392492
167	41.201217	2090009018.798645	91.565950
168	2.560113	2168764210.468246	94.853193
169	0.051177	2181253974.742327	98.267345
170	3.675626	2441480308.880839	101.883944
171	1.721819	2612568365.411858	105.736493
172	14.777360	2797276464.123441	109.775694
173	12.160611	2942765739.607224	113.973875
174	9.889976	2959965116.815825	118.300838
175	2.959465	3158359132.883192	122.842552
176	0.328903	3229857796.834247	127.590994
177	59.641204	3314451500.740963	132.432648
178	0.703566	3293207389.354299	137.388783
179	1.684933	3372780789.485605	142.539694
