Iteration	Cost	Gradient norm	Weight distance
268	0.208335	1.647881	1.432612
269	0.023264	0.112660	1.436686
270	0.012234	0.296241	1.428374
271	0.063237	0.228346	1.419434
272	0.216932	1.911247	1.431691
273	0.028028	0.054007	1.427429
274	0.054346	0.581906	1.436594
275	0.258535	1.889565	1.409066
276	0.138414	0.153754	1.408610
277	0.011368	0.014206	1.409925
278	0.013766	0.056447	1.412888
279	0.130519	0.081546	1.410478
280	0.039922	0.018060	1.407453
281	0.001075	0.003449	1.408267
282	0.242763	0.388844	1.405922
283	0.000105	0.000578	1.406266
284	0.048028	0.301672	1.412408
285	0.134751	0.366129	1.415477
286	0.188286	0.344143	1.415300
287	0.201905	2.952397	1.384438
288	0.048683	0.098060	1.378381
289	0.134684	0.445974	1.364690
290	0.125528	0.238294	1.366436
291	0.019426	0.312906	1.357656
292	0.215627	0.178760	1.350448
293	0.004895	0.025966	1.347924
294	0.196516	2.171832	1.361987
295	0.102265	2.421299	1.380749
296	0.029206	0.113828	1.374962
297	0.000394	0.003601	1.374095
298	0.013667	0.124723	1.378609
299	0.010009	0.011156	1.376766
300	0.017774	0.015653	1.374402
301	0.028112	0.073596	1.369590
302	0.119069	0.915726	1.352048
303	0.028254	0.231883	1.357924
304	0.013751	0.095748	1.361840
305	0.139948	2.629519	1.334100
306	0.029014	0.003490	1.332958
307	0.096645	2.399457	1.307333
308	0.003455	0.003939	1.308134
309	0.084369	0.123368	1.309678
310	0.005576	0.002910	1.308702
311	0.227692	1.051759	1.287196
312	0.121118	0.871584	1.296395
313	0.003232	0.024567	1.298590
314	0.052633	0.113067	1.292022
315	0.080319	0.416815	1.279969
316	0.233855	0.720325	1.282059
317	0.092364	0.809775	1.291765
318	0.000067	0.000102	1.291615
319	0.046175	0.022437	1.288258
320	0.009976	0.020140	1.285840
321	0.138057	0.974297	1.267059
322	0.082233	0.739373	1.276628
323	0.000348	0.000455	1.276928
324	0.075907	1.041366	1.259463
325	0.021611	0.273506	1.266436
326	0.000016	0.000006	1.266400
327	0.005158	0.007021	1.267437
328	0.112043	0.319768	1.270911
329	0.010638	0.051599	1.267212
330	0.162290	0.525702	1.270602
331	0.074006	0.243289	1.274652
332	0.069092	0.441747	1.262700
333	0.046573	0.755678	1.248420
334	0.000739	0.000149	1.248214
335	0.102680	0.391753	1.235852
336	0.064083	0.486269	1.223416
337	0.032661	0.114701	1.227203
338	0.006758	0.005681	1.228059
339	0.001277	0.003761	1.227100
340	0.023105	0.078590	1.230379
341	0.001875	0.000043	1.230385
342	0.047737	0.673844	1.216605
343	0.069290	1.075775	1.229604
344	0.008440	0.048650	1.226038
345	0.016911	0.059057	1.228994
346	0.139226	1.492777	1.206494
347	0.087129	0.508049	1.193107
348	0.000246	0.005261	1.194196
349	0.091368	0.182562	1.196612
350	0.029519	0.049628	1.198753
351	0.042215	0.218230	1.190376
352	0.000026	0.000604	1.190004
353	0.127256	1.892230	1.205939
354	0.027252	0.097441	1.209491
355	0.012636	0.296341	1.200988
356	0.000072	0.000011	1.200935
357	0.134360	0.107010	1.194375
358	0.014266	0.008686	1.192547
359	0.039685	0.077977	1.195036
360	0.000248	0.003739	1.195939
361	0.071976	0.171313	1.187639
362	0.126409	0.412681	1.174470
363	0.032818	0.701092	1.160782
364	0.021602	0.225725	1.167208
365	0.000079	0.000323	1.167477
366	0.029004	0.135520	1.171907
367	0.159186	1.280797	1.182282
368	0.030873	0.021460	1.179234
369	0.001044	0.021595	1.181386
370	0.100546	0.103670	1.180806
371	0.115467	0.717895	1.164608
372	0.125597	1.273191	1.143754
373	0.022200	0.453228	1.153160
374	0.033915	0.021079	1.150101
375	0.031494	0.690814	1.161470
376	0.048797	0.052937	1.156687
377	0.132778	0.121535	1.149779
378	0.043703	0.034873	1.145845
379	0.003468	0.004051	1.146661
380	0.057801	0.065561	1.141297
381	0.003739	0.080804	1.145435
382	0.117773	2.174291	1.119531
383	0.005116	0.028432	1.121908
384	0.039689	0.025068	1.118571
385	0.193583	2.099298	1.132455
386	0.114021	0.122384	1.125144
387	0.007248	0.014291	1.126643
388	0.008425	0.194095	1.132940
389	0.040013	0.030623	1.129272
390	0.041126	0.267638	1.135278
391	0.022815	0.216263	1.127553
392	0.051486	0.485888	1.135826
393	0.000570	0.003965	1.136736
394	0.004367	0.096410	1.141163
395	0.146683	0.157592	1.133559
396	0.048602	0.879365	1.145413
397	0.024564	0.061858	1.140912
398	0.063435	0.028396	1.138745
399	0.099568	0.738413	1.146703
400	0.010317	0.123907	1.151349
401	0.032262	0.037850	1.147480
402	0.003897	0.000997	1.146887
403	0.051752	1.230635	1.160684
404	0.037745	0.902967	1.145769
405	0.018605	0.357868	1.136451
406	0.002039	0.007383	1.137609
407	0.014520	0.002624	1.137485
408	0.000083	0.000000	1.137490
409	0.002895	0.022644	1.135195
410	0.065805	1.473061	1.150012
411	0.077966	0.724034	1.134982
412	0.087892	0.232453	1.137330
413	0.000275	0.000079	1.137192
414	0.013869	0.157034	1.142264
415	0.111269	0.752016	1.125939
416	0.029266	0.139229	1.129960
417	0.164523	1.438622	1.107069
418	0.028386	0.064886	1.102342
419	0.037092	0.045699	1.103530
420	0.036899	0.161292	1.107657
421	0.059254	1.461215	1.122657
422	0.139724	4.043618	1.088801
423	0.017857	0.201443	1.094624
424	0.045177	0.041484	1.095003
425	0.021259	0.017288	1.095789
426	0.002247	0.000688	1.096061
427	0.002307	0.012323	1.097573
428	0.054950	0.098008	1.099127
429	0.004047	0.002714	1.098217
430	0.000643	0.000586	1.097840
431	0.103584	0.699876	1.082084
432	0.006228	0.010113	1.083266
433	0.072427	1.177502	1.064703
434	0.009173	0.026191	1.061950
435	0.009509	0.055619	1.065048
436	0.034738	0.026681	1.065490
437	0.068442	0.256379	1.069513
438	0.055988	0.602633	1.078326
439	0.001331	0.000612	1.077913
440	0.016056	0.078389	1.073204
441	0.031716	0.274236	1.079368
442	0.070505	0.411016	1.085050
443	0.014835	0.153219	1.078821
444	0.000027	0.000123	1.078979
445	0.063818	0.553058	1.065808
446	0.014346	0.280791	1.072913
447	0.014107	0.117863	1.077223
448	0.084811	0.142946	1.077393
449	0.004136	0.018836	1.079162
450	0.057109	0.204833	1.070590
451	0.045711	0.071780	1.071798
452	0.013734	0.123940	1.076185
453	0.057367	1.398442	1.057012
454	0.049740	0.932366	1.041008
455	0.043671	0.376039	1.047966
456	0.016128	0.173718	1.041211
457	0.083028	0.533170	1.047644
458	0.020934	0.034354	1.044177
459	0.003494	0.013341	1.042342
460	0.000517	0.003657	1.041434
461	0.001251	0.001073	1.041855
462	0.051599	0.172736	1.045146
463	0.037109	0.107171	1.047902
464	0.022241	0.212577	1.040308
465	0.022950	0.036992	1.036673
466	0.052960	0.150290	1.029187
467	0.015103	0.228027	1.035518
468	0.000086	0.000030	1.035595
469	0.074355	1.203784	1.047932
470	0.019542	0.007202	1.046197
471	0.030146	0.010366	1.044375
472	0.020352	0.005434	1.042950
473	0.051846	0.144098	1.045363
474	0.008602	0.152920	1.039410
475	0.003420	0.006565	1.040398
476	0.017439	0.003862	1.039225
477	0.000036	0.000154	1.039401
478	0.006639	0.056648	1.035693
479	0.000291	0.002185	1.036352
480	0.030122	0.613545	1.046153
481	0.106610	1.186570	1.026465
482	0.056443	0.703611	1.035663
483	0.028384	0.029700	1.032234
484	0.016852	0.082253	1.027409
485	0.006028	0.000458	1.027025
486	0.000039	0.000742	1.026632
487	0.058517	0.050593	1.025322
488	0.008901	0.001033	1.025038
489	0.029289	0.456375	1.033219
490	0.027013	0.009576	1.031418
491	0.067845	0.069504	1.026286
492	0.034349	0.071360	1.021180
493	0.095622	1.931466	0.997384
494	0.055150	0.854287	1.008057
495	0.016761	0.005551	1.007874
496	0.000767	0.000061	1.007730
497	0.014756	0.025186	1.009151
498	0.008939	0.136795	1.003441
499	0.016181	0.155108	0.997035
500	0.062006	0.487327	1.003687
501	0.003415	0.003494	1.002687
502	0.074945	0.118932	0.995846
503	0.058016	0.233532	0.999242
504	0.018688	0.022063	1.000175
505	0.006219	0.000566	0.999758
506	0.058191	0.081987	0.999494
507	0.041860	0.344650	1.005387
508	0.014332	0.324767	1.012603
509	0.038792	0.920572	0.997477
510	0.000410	0.000005	0.997477
511	0.029879	0.056065	0.998856
512	0.081030	1.297687	0.979221
513	0.004449	0.074277	0.975076
514	0.027935	0.020070	0.972295
515	0.006326	0.048079	0.975146
516	0.012143	0.002150	0.974535
517	0.000698	0.001181	0.974995
518	0.071712	0.331266	0.964022
519	0.039976	0.651240	0.950484
520	0.002565	0.053178	0.953785
521	0.011791	0.007575	0.952107
522	0.050852	0.673605	0.937862
523	0.013453	0.038249	0.934390
524	0.024309	0.215759	0.926397
525	0.024818	0.167471	0.931304
526	0.041394	0.225167	0.936083
527	0.058706	0.294992	0.940589
528	0.015157	0.130032	0.934568
529	0.018803	0.006249	0.933304
530	0.012200	0.015576	0.930988
531	0.039873	0.035933	0.927541
532	0.001697	0.000764	0.927055
533	0.054725	0.194144	0.930088
534	0.016272	0.334122	0.920744
535	0.001435	0.006797	0.921914
536	0.009507	0.037019	0.918615
537	0.010741	0.128391	0.912733
538	0.000028	0.000266	0.912980
539	0.000730	0.002673	0.913729
540	0.033574	0.357644	0.920984
541	0.046567	0.794040	0.931808
542	0.045671	0.037601	0.928988
543	0.002698	0.035256	0.931616
544	0.000312	0.000885	0.931163
545	0.025500	0.119255	0.925002
546	0.047650	0.180027	0.928056
547	0.001809	0.020790	0.925847
548	0.015701	0.049848	0.928156
549	0.024573	0.374585	0.935714
550	0.001010	0.000306	0.935413
551	0.023355	0.130450	0.939146
552	0.001963	0.036468	0.936303
553	0.043448	0.623031	0.922886
554	0.003308	0.009851	0.921266
555	0.001328	0.000579	0.921538
556	0.041099	0.328874	0.927356
557	0.021494	0.109197	0.921573
558	0.001154	0.000051	0.921437
559	0.013069	0.053999	0.924014
560	0.014455	0.023959	0.925258
561	0.004496	0.068450	0.928793
562	0.007510	0.016086	0.926604
563	0.051661	0.092655	0.920809
564	0.001410	0.007945	0.919439
565	0.007880	0.193135	0.925388
566	0.006588	0.005970	0.923982
567	0.035011	0.129163	0.917330
568	0.000100	0.000711	0.917712
569	0.031719	0.459271	0.906334
570	0.041748	0.802816	0.917039
571	0.001873	0.006635	0.918100
572	0.033418	0.076160	0.912861
573	0.002879	0.038978	0.909842
574	0.044968	0.450445	0.898015
575	0.000276	0.004776	0.899023
576	0.006154	0.019652	0.896654
